"","date","cpiu_g.x","pcw_g","gftfp_g","gfrpt_g","gfrpri_g","gfrcp_g","gfrs_g","yptmr_g","yptmd_g","gfrptb_g","gsrpt_gdp","gsrpri_gdp","gsrcp_gdp","gsrs_gdp","jgf_g","jgs_g","jc_g","gdp_g","gdph_g","gdppothq_g","gdppotq_g","dc_g","jgdp_g","c_g","ch_g","gh_g","gfh_g","gsh_g","g_g","gf_g","gs_g","cpiu_g.y","gsrpt_g","gsrpri_g","gsrcp_g","gsrs_g","gdp","c","ch","gdph","jc","jgdp","jgf","jgs","jgse","jgsi","ptgh","ptgsh","ptgfh","yptmr","yptmd","yptu","gtfp","ypog","yptx","ytpi","yctlg","g","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","gfeghhx","gfeghdx","gfeigx","gfsub","gssub","gsub","gftfbusx","pcw","gdppothq","gdppotq","recessq","fshare","gstfp_g","gstfpnet_g","gftfpnet_g","gfeghhx_g","gfeghdx_g","gfeg_g","gfeigx_g","jgsi_g","jgse_g","gfsub_g","gssub_g","gfsave","gssave","gfrptsave","yfptmd","ysptmd","gfegnet","gstfpnet","gftfpnet","yptxb"
"11",1972-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290.6,775.8,3422.7,5415.7,22.671,23.835,22.51,16.275,15.599,19.805,-1.72,0.36,-2.08,8.9,8.6,5.8,92.9,1.8,124.3,108.9,38.3,284.3,59.9,22.666,138.8,145.6,616.3,894.4,103.1,18.5,33.1,58.5,65.116,25.6,21.2,90.4,5.2,1.3,27.684,172.5,NA,NA,6.724,7.1,0.1,7.2,5.184,42.2,5347.4,1274.3,-1,0.546908828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.8,145.6,103.1,4.7034159208,3.8965840792,20.8965840792,22.9805840792,69.8194159208,NA
"12",1972-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328.9,800.5,3503,5506.4,22.855,24.105,22.999,16.499,15.793,20.175,0.77,0.62,0.14,9.2,8.5,5,103.1,1.9,127.1,111.5,42.4,291.7,60.8,22.852,142.2,149.6,617.9,906.7,105.3,19,36.6,59.4,76.092,39.3,21.8,92.5,5.7,1.4,27.008,176.8,NA,NA,5.7,7,0.1,7.1,4.508,42.6333333333333,5388.7,1300.5,-1,0.546908828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.2,149.6,105.3,4.648725038,3.851274962,34.651274962,22.359274962,80.740725038,NA
"13",1973-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377.5,825,3567,5642.7,23.131,24.412,23.37,16.824,16.105,20.564,0.84,0.22,0.62,9.5,9,4.6,105.4,1.8,126.4,114.6,45.3,299.6,74.1,23.129,146.4,153.2,625.9,910.9,104.5,19.5,39.3,72.7,78.012,34.3,21.9,95.1,6,1.4,27.388,181.7,NA,NA,5.74,5.9,0.1,5.9,4.188,43.2666666666667,5431.5,1325.9,-1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4,153.2,104.5,4.711556826,4.288443174,29.588443174,22.676443174,82.723556826,NA
"14",1973-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413.9,840.5,3565.3,5704.1,23.576,24.816,23.777,17.123,16.377,20.997,-0.59,0.07,-0.66,10,9.6,4.5,107.6,1.8,129.2,116.2,45.4,302.7,75.3,23.575,146.5,156.2,615.8,912.4,106.9,19.9,39.4,73.8,79.5,33.4,22.3,96.3,6.1,1.5,28.1,185.7,NA,NA,6.208,5.6,0.1,5.7,4.1,44.1666666666667,5476.9,1357.6,-1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.5,156.2,106.9,5.0256606144,4.5743393856,28.3743393856,23.0743393856,84.5256606144,NA
"15",1973-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433.8,858.9,3577.9,5674.1,24.005,25.29,24.269,17.353,16.567,21.425,-1,0.46,-1.46,10.5,9.7,4.5,109.2,1.8,134.1,118.4,43.4,304.2,76.6,24.005,144.2,159.9,594,921.9,111,19.7,37.6,75.1,80.988,32.6,23.1,98.7,5.9,1.5,28.312,190,NA,NA,5.344,4.6,0.1,4.7,4.112,45.0666666666667,5523.2,1395.7,-1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.2,159.9,111,5.0780112458,4.6219887542,27.5219887542,23.2339887542,86.0660112458,NA
"16",1973-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476.3,873.9,3567.2,5728,24.496,25.728,24.788,17.682,16.845,22,0.63,0.55,0.09,11,10.1,4.7,112.3,1.9,140,119.7,45.6,312.6,78.1,24.498,147.6,165,595.4,933.1,116,20.1,39.4,76.6,82.948,33.6,24,99.6,6.1,1.6,29.352,195.9,NA,NA,5.92,4.5,0.1,4.6,4.352,46.1666666666667,5571,1435.8,1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.6,165,116,5.2874137714,4.8125862286,28.3125862286,24.0645862286,88.2354137714,NA
"17",1974-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.2,891.9,3535.3,5678.7,25.225,26.249,25.042,18.195,17.254,23.02,1.52,0.57,0.95,11.7,10.2,5.8,117.5,1.9,142.8,120.8,43.7,324.6,83.7,25.227,152.7,171.9,609.7,944.9,119.5,19.8,37.4,82.1,88.664,33.3,23.3,101,6.3,1.6,28.836,201.1,NA,NA,7.76,3.5,0.1,3.6,5.436,47.5666666666667,5619.7,1475.7,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.7,171.9,119.5,5.7821186658,4.4178813342,27.5178813342,23.0538813342,94.4461186658,NA
"18",1974-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530.1,920.4,3548,5692.2,25.939,26.832,25.494,18.828,17.718,24.467,0.43,0.58,-0.14,12.4,11.1,6.7,125.4,2,148.9,124.1,45.9,335,85.3,25.942,154.9,180.1,607.6,956.6,124.8,20.1,39.3,83.6,94.404,34.1,24.1,104,6.6,1.6,30.996,210.1,NA,NA,8.572,2.8,0.1,2.9,6.296,48.7666666666667,5669.1,1523.9,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.9,180.1,124.8,6.2923056069,4.8076943931,27.8076943931,24.7036943931,100.6963056069,NA
"19",1974-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560,949.3,3563.3,5638.4,26.639,27.659,26.239,19.515,18.226,26.031,0.2,-0.08,0.28,13.1,11.4,6.9,132.2,2.1,154.9,127.1,50.8,346.7,86.9,26.64,160.4,186.3,611.5,954.8,129.7,20.2,43.5,85.2,99.972,35.4,25.2,106.8,7.3,1.7,32.328,217,NA,NA,6.496,3.1,0.1,3.2,6.428,50.2333333333333,5718.1,1582,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.4,186.3,129.7,6.4623679206,4.9376320794,28.9376320794,25.8656320794,106.4343679206,NA
"20",1974-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599.7,959.1,3511.2,5616.5,27.316,28.498,27.11,20.089,18.703,27.113,0.45,0.03,0.42,13.8,12,8.6,139.1,2.2,157.6,127.7,44.6,359.2,87.1,27.315,167.4,191.9,617.6,955.2,132,20.2,38.1,85.4,103.88,36.8,25.6,107.5,6.5,1.7,35.22,223.7,NA,NA,7.84,3.5,0.1,3.6,8.12,51.7666666666667,5766.6,1642.5,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.4,191.9,132,6.802492548,5.197507452,29.997507452,28.417507452,110.682492548,NA
"21",1975-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616.1,985.2,3540.6,5548.2,27.83,29.142,27.603,20.493,19.077,27.689,1.03,1.44,-0.4,14.5,13.3,14.2,149.8,2.3,158,128.8,37.6,370.1,88.2,27.825,168.6,201.5,611.1,983.4,132.3,19.8,31.5,86.5,107.24,39.3,25.7,109,6.1,1.8,42.46,235.9,NA,NA,8.652,4.1,0.1,4.2,13.26,52.8666666666667,5814,1693.5,1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.6,201.5,132.3,7.328551237,5.971448763,31.971448763,35.131448763,114.568551237,NA
"22",1975-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1651.9,1013.6,3598.9,5587.8,28.172,29.565,28.003,20.899,19.536,27.826,-0.74,-0.35,-0.39,15.2,13.8,19.4,164.6,2.4,121.1,133,40.8,373.4,88.6,28.164,169.4,204,605,976.4,94.6,21.3,34.2,86.8,116.152,44.3,26.5,111.7,6.6,1.8,48.548,240.3,NA,NA,7.804,4.1,0.2,4.3,18.048,53.5,5860.5,1732.5,-1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.4,204,94.6,7.604060682,6.195939318,36.695939318,40.943939318,123.756060682,NA
"23",1975-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1709.8,1047.2,3650,5683.4,28.699,30.087,28.38,21.166,19.837,27.914,1.75,0.64,1.1,16,13.8,20.2,167.7,2.6,152.8,138.2,51.4,385.4,90.3,28.69,176.1,209.3,620.6,988.9,125.7,23.3,43.2,88.5,118.816,45,27.2,114.9,8.2,1.9,48.984,246.6,NA,NA,10.772,4.4,0.2,4.6,17.984,54.5666666666667,5906.6,1776.9,-1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.1,209.3,125.7,7.604060682,6.195939318,37.395939318,41.379939318,126.420060682,NA
"24",1975-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1761.8,1076.2,3689.3,5760,29.18,30.59,29.032,21.437,20.126,28.084,0.82,0.66,0.16,16.8,14.6,18.8,170.4,2.7,158.5,141.1,52.3,395.6,92.4,29.172,180.8,214.8,622.7,1002.1,130.4,23.9,43.9,90.5,120.9,45.9,28.2,117.3,8.4,2,49.5,254.2,NA,NA,10.424,4.8,0.2,4.9,16.9,55.5666666666667,5952.7,1820.7,-1,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.8,214.8,130.4,8.044875794,6.555124206,37.855124206,41.455124206,128.944875794,NA
"25",1976-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820.5,1109.9,3763,5889.5,29.502,30.925,29.456,21.679,20.388,28.222,0.18,0.56,-0.38,17.6,15.2,17.7,174.7,2.8,162.5,141.7,59.6,401.3,99.6,29.495,181.6,219.7,616.5,1013.3,133,20.8,49.9,97.5,125.684,47,29.5,120.9,9.7,2,49.016,260.3,NA,NA,10.012,5,0.2,5.1,15.616,56.2333333333333,5998.7,1854.3,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.6,219.7,133,9.1602317552,6.0397682448,37.8397682448,39.8557682448,134.8442317552,NA
"26",1976-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852.3,1129.5,3797.7,5932.7,29.749,31.233,29.703,21.942,20.654,28.464,-0.97,-0.85,-0.13,18.4,14.9,16.3,173.1,3,169.3,144.9,58.6,401,101.1,29.743,182.5,218.5,614.4,995.6,138.7,21.3,49,98.9,125.204,47.8,30.6,123.5,9.6,2.1,47.796,259.4,NA,NA,9.76,4.7,0.2,4.8,14.396,56.7333333333333,6045.6,1887.5,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.5,218.5,138.7,8.9794377074,5.9205622926,38.8205622926,38.8165622926,134.1834377074,NA
"27",1976-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886.6,1158.8,3837.7,5965.3,30.2,31.632,30.043,22.105,20.834,28.526,-0.24,-0.31,0.08,19.2,15.9,16.1,180.1,3.1,176.1,147.7,58.1,403.5,102.8,30.196,184.9,218.6,615.3,989,144.5,21.7,48.5,100.6,131.82,48.7,31.6,126,9.7,2.2,48.28,261.3,NA,NA,10.592,4.9,0.2,5.1,13.58,57.6,6093.8,1927.2,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.9,218.6,144.5,9.5820845334,6.3179154666,39.1179154666,38.6979154666,141.4020845334,NA
"28",1976-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934.3,1192.4,3887.4,6008.5,30.678,32.169,30.846,22.369,21.11,28.72,-0.02,-0.14,0.11,20,15.9,15.5,182.7,3.2,182.7,151.3,57.1,410.8,104.4,30.673,190.2,220.6,616.7,986,150.1,21.7,47.5,102.1,134.172,52.7,32.6,129.6,9.6,2.3,48.528,263.9,NA,NA,11.108,5.3,0.2,5.5,13.528,58.4333333333333,6142.8,1977.5,-1,0.602646826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.2,220.6,150.1,9.5820845334,6.3179154666,43.1179154666,38.9459154666,143.7540845334,NA
"29",1977-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.6,1228.2,3933.3,6079.5,31.231,32.689,31.283,22.791,21.538,29.092,0.76,0.46,0.31,20.9,16.2,15.5,185.5,3.3,188.8,154.8,61.5,421.2,110,31.226,194.2,227,620.9,995.8,155.3,22,51,107.5,136.404,50.7,33.5,132.9,10.5,2.5,49.096,271.1,NA,NA,10.716,5.6,0.2,5.8,13.396,59.5333333333333,6193.4,2025.9,-1,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.2,227,155.3,9.1797526314,7.0202473686,41.5202473686,39.9162473686,145.5837526314,NA
"30",1977-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055.9,1256,3954.6,6197.7,31.766,33.205,31.639,23.199,21.966,29.379,0.81,0.28,0.53,21.7,17.5,13.3,186.4,3.4,195.7,158,67.1,431.4,112.8,31.76,198.9,232.4,628.8,1001.9,161,22.5,55.7,110.1,137.124,53.7,34.7,135.5,11.4,2.7,49.276,278.6,NA,NA,10.652,5.7,0.2,5.9,11.776,60.6,6245.2,2071.7,-1,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.9,232.4,161,9.9163994475,7.5836005525,43.7836005525,39.3596005525,147.0403994475,NA
"31",1977-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2118.5,1286.9,3992,6309.5,32.243,33.662,31.795,23.594,22.359,29.774,0.35,-0.05,0.4,22.5,16.7,11.9,191.7,3.5,198.6,161.5,69.7,438,115.1,32.237,201.9,236.1,635.1,1000.8,162.6,23.2,57.9,112.2,143.964,57.3,35.9,138.3,11.8,2.9,47.736,282.3,NA,NA,11.804,6.2,0.2,6.4,10.436,61.4333333333333,6297.7,2114.5,-1,0.566651397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.9,236.1,162.6,9.4630783299,7.2369216701,47.8369216701,38.2729216701,153.4270783299,NA
